Rock_Name,Mentions_Count,Geological_Class,Color_Code
Limestone (Common),69,Sedimentary,#2b6cb0
Sandstone (Common),49,Sedimentary,#3182ce
Marble (Common),45,Metamorphic,#38a169
Granite (Plutonic),29,Igneous,#dd6b20
Fired Brick / Terracotta,25,Earthen & Processed,#805ad5
Coral Ragstone,21,Sedimentary,#2b6cb0
Slate (Metamorphic),14,Metamorphic,#2f855a
Volcanic Tuff / Vitric Tuff,13,Igneous,#e2e8f0
Basalt (Deccan / Volcanic),10,Igneous,#c05621
Volcanic Rock / Lava,9,Igneous,#dd6b20
Laterite (Iron-rich Soil Stone),9,Earthen & Processed,#805ad5
Flint (Chert),8,Sedimentary,#4299e1
Adobe / Mud-Brick,7,Earthen & Processed,#805ad5
Chalk,5,Sedimentary,#4299e1
Soapstone / Talc-Schist,4,Metamorphic,#48bb78
Carnelian Gemstone Inlay,3,Earthen & Processed,#d69e2e
Steatite (Soapstone),3,Metamorphic,#48bb78
Andesite,3,Igneous,#c05621
Stone,3,Other / Vernacular,#718096
Welsh Bluestone (Dolerite/Rhyolite),3,Metamorphic,#48bb78
Gypsum / Stucco Plaster,3,Earthen & Processed,#9f7aea
Sillar (Dacitic Ignimbrite Tuff),2,Igneous,#ed8936
Pietra Forte (Florentine Sandstone),2,Earthen & Processed,#b794f4
Pietra Serena (Florentine Greywacke),2,Earthen & Processed,#b794f4
Travertine (Chemical Carbonate),2,Earthen & Processed,#9f7aea
Agate Gemstone Inlay,2,Earthen & Processed,#d69e2e
Timber,2,Other / Vernacular,#718096
Fireclay,2,Sedimentary,#63b3ed
Iron Ore / Mineral,2,Earthen & Processed,#d69e2e
Loess Deposits,2,Sedimentary,#63b3ed
Plaster,2,Other / Vernacular,#718096
Obsidian,2,Other / Vernacular,#718096
Yellow Volcanic Tufa,1,Igneous,#ed8936
Piperno Volcanic Stone,1,Igneous,#ed8936
Tufa,1,Other / Vernacular,#718096
Yellow Malad Stone,1,Other / Vernacular,#718096
Istrian Stone (Pietra D'Istria,1,Other / Vernacular,#718096
Ancient Roman Stones,1,Other / Vernacular,#718096
And Cherts,1,Other / Vernacular,#718096
Cob,1,Other / Vernacular,#718096
Wood (Toron Frameworks,1,Other / Vernacular,#718096
Rhyolite,1,Other / Vernacular,#718096
Ancient Chinese,1,Other / Vernacular,#718096
Imperial China (Confucian Culture,1,Other / Vernacular,#718096
Earth,1,Other / Vernacular,#718096
Euville Stone,1,Other / Vernacular,#718096
Flagstone,1,Other / Vernacular,#718096
Large Stone Blocks (Lower Two Levels,1,Other / Vernacular,#718096
Small Stone Rubble,1,Other / Vernacular,#718096
Abutting Flagstones (Upper Canal,1,Other / Vernacular,#718096
Quincha (Traditional Mud & Organic Lattice,1,Other / Vernacular,#718096
Chloritic Schist,1,Other / Vernacular,#718096
Schist,1,Other / Vernacular,#718096
Stone (Enclosed In Stone,1,Other / Vernacular,#718096
Geological Material Is Explicitly Mentioned,1,Other / Vernacular,#718096
White-Stone,1,Other / Vernacular,#718096
Alabaster (Retable Of The High Altar By Damià Forment,1,Other / Vernacular,#718096
1529,1,Other / Vernacular,#718096
Freestone,1,Other / Vernacular,#718096
Bahareque (Mud,1,Other / Vernacular,#718096
Bamboo,1,Other / Vernacular,#718096
