Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references
252.0,Taj Mahal,India,Indo-Islamic sepulchral architecture,Internal (DS/OUV),,1632 AD - 1653 AD (Main mausoleum completed 1648 AD),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius;,Internal (DS/OUV),,White Marble,Internal (DS/OUV),,Sedimentary Rock,,,Red Sandstone,Internal (DS/OUV),,Makrana Marble (Sang-e-Marmar / Pure White Calcite Marble),External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,Metamorphic (Granoblastic Calcitic Marble with ~98–100% Calcite); Secondary stone is Sedimentary Quartzarenite Sandstone,External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,Proterozoic,External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"Ajmer Formation, Kumbhalgarh Group, Delhi Supergroup",External,https://www.ijraset.com/best-journal/an-appraisal-of-hydrogeological-conditions-and-fluoride-problem-in-makrana-block-of-nagaur-district-in-rajasthan-india,Pure white with greyish veins,Internal (DS/OUV),,"Fine to medium-grained, crystalline granoblastic, interlocking texture",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"Calcite (>98%), with minor quartz, muscovite, and silicate impurities in grey streaks",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"Makrana (Nagaur District, Rajasthan) for marble; Tantpur/Dholpur for red sandstone",External,https://bgm.revistas.csic.es/index.php/bgm/article/view/773/749,india,Internal (DS/OUV),,"Imported (Transported from Nagaur, Rajasthan to Agra, Uttar Pradesh)",External,https://iugs-geoheritage.org/geoheritage_stones/makrana-marble/,"~300 km to 350 km (from Makrana, Rajasthan to Agra)",External,https://www.researchgate.net/publication/330155141_Makrana_Marble_a_Popular_Heritage_Stone_Resource_from_NW_India,"Main tomb structure, minarets, platforms, domes, and wall veneering.",Internal (DS/OUV),,"Exquisite octagonal marble lattice screens, pietra dura stone intarsia inlay (using precious/semi-precious stones), floral relief motifs, and Arabic calligraphic inscriptions.",Internal (DS/OUV),,Brick-in-lime mortar core veneered with dressed stone slices.,Internal (DS/OUV),,Atmospheric pollution-induced discolouration; micro-cracking and bio-deterioration,External,https://www.researchgate.net/publication/354053657_Role_of_air_pollutant_for_deterioration_of_Taj_Mahal_by_identifying_corrosion_products_on_surface_of_metals,,,,"Traditional clay pack treatments (Fuller's earth / multani mitti) for cleaning marble yellowing; air quality monitoring; banning coal/coke usage in the 10,400 $\text{km}^2$ Taj Trapezium Zone (TTZ)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"Other References	
1. ICOMOS Advisory Body Evaluation (1983)


2. Kaur et al. (2019) – Makrana Marble: A Popular Heritage Stone Resource from NW India


3. ResearchGate: Role of Air Pollutants for Deterioration of Taj Mahal


4. GIA – Gemstones in the Era of the Taj Mahal and the Mughals"
726.0,Historic Centre of Naples,Italy,"Greek, Roman, Byzantine, Norman, French Gothic, Tuscan/Aragonese, Renaissance, Baroque, Neoclassical",Internal (DS/OUV),,9th Century B.C. (Parthenope/Palaepolis) – 18th Century A.D. (Bourbon era) & modern continuity,Internal (DS/OUV),,"Greek, Roman, Byzantine, Norman, Swabian, Angevin, Aragonese, Spanish, Bourbon",Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Yellow Tufa, Grey Piperno, White Marble",Internal (DS/OUV),,Igneous Rock,,,,,,,,,,,,,,,,,,"Yellow (Tufa), Grey (Piperno), White (Marble)",Internal (DS/OUV),,,,,,,,"Naples subsoil (Fontanelle, Capodimonte, Rione Sanità, Pizzofalcone) & western Campi Flegrei (Pianura, Soccavo)",External,https://virtualexplorer.com.au/article/2010/261/urban-geology-in-the-neapolitan-area/materials.html,Italy,Internal (DS/OUV),,Local (Yellow Tufa and Piperno derived locally from subsoil/Bay area); White Marble imported/regional,Internal (DS/OUV),,,,,"Load-bearing masonry walls, foundations, city wall fortifications (e.g., Castel Nuovo, Castel dell'Ovo)",Internal (DS/OUV),,"Facades, columns, capitals, lintels, bas-reliefs, ornamental details, sculptures",Internal (DS/OUV),,,,,,,,,,,,,,Moderate,Internal (DS/OUV),,Yes,"• Journal of the Virtual Explorer: Urban Geology in the Neapolitan Area


• ResearchGate: Piperno from Campi Flegrei


• CORE: Influence of Water on Neapolitan Yellow Tuff"
1016.0,Historical Centre of the City of Arequipa,Peru,"Colonial, Andean Baroque (Mestizo Baroque), Rococo, Neoclassical, Vernacular (Casonas), Historicist",Internal (DS/OUV),,16th to 20th Century A.D.,Internal (DS/OUV),,"Spanish Colonial, European integrated with Native / Indigenous (Pre-Hispanic / Inca influence)",Internal (DS/OUV),,,Internal (DS/OUV),,Sillar (Volcanic Stone / Volcanic Rock),Internal (DS/OUV),,Igneous Rock,External,"Bustamante, R., Vazquez, P., & Prendes, N. (2021). Properties of the Ignimbrites in the Architecture of the Historical Center of Arequipa, Peru. Applied Sciences, 11(22), 10571. https://doi.org/10.3390/app112210571

",Andesite (Lava rock / River boulders),Internal (DS/OUV),,Sillar (specifically Sillar de Arequipa),Internal (DS/OUV),,Dacitic to Rhyolitic Non-welded / Indurated Ignimbrite (Vitric Tuff / Pyroclastic Flow Deposit),External,"Bustamante, R., Vazquez, P., & Prendes, N. (2021). Properties of the Ignimbrites in the Architecture of the Historical Center of Arequipa, Peru. Applied Sciences, 11(22), 10571. https://doi.org/10.3390/app112210571
",,,,na,,,Predominantly White (also Pink/Reddish hues),Internal (DS/OUV),,,,,,,,"Canteras de Añashuayco (Añashuayco Ravine / Paccha Quarry), Airport Quarry",External,"1: https://idus.us.es/bitstreams/f94e9778-fdc8-489b-9d19-a0bab25d1fd7/download
 
2: https://meetingorganizer.copernicus.org/EGU21/EGU21-8355.html",Peru,Internal (DS/OUV),,Local (Extracted from nearby volcanic quarries surrounding the city),Internal (DS/OUV),,,,,"Robust load-bearing walls, foundations, semi-circular arches, porticos, thick vaults, pillars, bridges (Puente Real / Puente Grau)",Internal (DS/OUV),,"Intricate Baroque facade relief carvings, carved corbels, protruding pediments, cornices, decorative doorways, window flanking pillars",Internal (DS/OUV),,"Ashlar masonry (Sillar blocks, voussoirs, paving tiles cut to sizes such as 40x40x20 cubic cm), intricate hand carving by native masons",Internal (DS/OUV),,"Damage due to seismic activity (earthquakes), low-intensity volcanic activity, ENSO/flooding, high atmospheric pollution from vehicle emissions, and erosion",Internal (DS/OUV),,,,,Rebuilding and adaptive reuse following major earthquakes; ~20% of declared casonas/monuments are fully restored,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,Advisory Body Evaluation (ICOMOS 2000); Peruvian National Law Nº 28296; Municipal Ordinance Nº 13-99; Peer-reviewed geological and architectural studies on Arequipa ignimbrites
173.0,Stone Town of Zanzibar,United Republic of Tanzania,"a complex fusion of Swahili, Arab, Indian, and European influences",Internal (DS/OUV),,18th and 19th centuries,Internal (DS/OUV),,Swahili / Coastal East African,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Coralline ragstone / Coral stone,Internal (DS/OUV),,Sedimentary Rock,,,Laterite,Internal (DS/OUV),,Coral rag / Nyumba za mawe material,External,"Salum, Salum & Chami, Maximilian. (2026). Reclaiming Darajani Creek: colonial sanitation, urban transformation, conservation and heritage memory in Stone Town of Zanzibar, a UNESCO World Heritage Site. Built Heritage. 10. 10.1186/s43238-026-00265-9. ",Na,,,,,,,,,,,,,,,,,,Local coastal coral reef exposures and shallow borrow pits / quarries across Unguja Island,External,"Salum, Salum & Chami, Maximilian. (2026). Reclaiming Darajani Creek: colonial sanitation, urban transformation, conservation and heritage memory in Stone Town of Zanzibar, a UNESCO World Heritage Site. Built Heritage. 10. 10.1186/s43238-026-00265-9. ",United Republic of Tanzania (Zanzibar / Unguja),Internal (DS/OUV),,Local,Internal (DS/OUV),,,,,"Primary load-bearing masonry walls for two-storey mansions, palaces, forts, and residential buildings",Internal (DS/OUV),,"Carved wooden doors, verandahs, and lime-plaster mouldings",Internal (DS/OUV),,"Coral ragstone set in thick lime mortar, encased in lime plaster and wash",Internal (DS/OUV),,"Salt aerosol attack, high atmospheric humidity, tropical moisture, and rainfall deterioration",Internal (DS/OUV),,Locally sourced coral ragstone and traditional lime mortars,Internal (DS/OUV),,Guided by the Stone Town Conservation and Development Authority (STCDA) Master Plan (1994) and Management Plan (2007) using traditional skills and materials,Internal (DS/OUV),,Moderate,,,Yes,"World Bank - Michenzani Green Corridor HIA Report

Limestone Resources of Tanzania: Geological Overview

Reclaiming Darajani Creek (Built Heritage / ResearchGate)"
174.0,Historic Centre of Florence,Italy,"Renaissance, Gothic, Romanesque, Medieval, Roman",Internal (DS/OUV),,13th–17th Century (with ancient Roman foundation from 59 BC),Internal (DS/OUV),,Florentine / Italian Renaissance & Etruscan/Roman,Internal (DS/OUV),,,Internal (DS/OUV),,"Pietra Forte, Pietra Serena",Internal (DS/OUV),,Sedimentary Rock,,,"Carrara Marble, Marmo di Corylo, Rosso di Cotto",Internal (DS/OUV),,"Pietra Forte, Pietra Serena",Internal (DS/OUV),,Turbiditic silicic-carbonate sandstone (Pietra Forte); Feldspathic greywacke sandstone (Pietra Serena),External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,Upper Cretaceous (Pietra Forte); Upper Oligocene–Lower Miocene (Pietra Serena),External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,Pietraforte Formation (Ligurian Domain); Macigno Formation (Tuscan Nappe),External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,Yellowish-brown/ochraceous (Pietra Forte); Cerulean/greyish-blue (Pietra Serena),External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,"Fine-to-medium grained, graded bedding",External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,"Quartz, Feldspars (Plagioclase), Micas, Calcite, Dolomite fragments",External,https://www.researchgate.net/publication/347198129_Pietraforte_the_Florentine_building_material_from_the_Middle_Ages_to_contemporary_architecture,"Boboli Hill Quarries, Costa San Giorgio (Pietra Forte); Fiesole & Monte Ceceri Quarries (Pietra Serena); Apuan Alps / Carrara (Marble)",External,https://www.isprambiente.gov.it/it/pubblicazioni/periodici-tecnici/memorie-descrittive-della-carta-geologica-ditalia/stones.pdf,Italy,Internal (DS/OUV),,Local (Pietra Forte & Pietra Serena); Regional Import (Carrara Marble),Internal (DS/OUV),,Local (< 5–10 km for sandstones); ~100 km (for Carrara Marble),External,https://www.isprambiente.gov.it/it/pubblicazioni/periodici-tecnici/memorie-descrittive-della-carta-geologica-ditalia/stones.pdf,"Fortified walls, palaces, bridges, structural pillars, foundations, exterior load-bearing masonry",Internal (DS/OUV),,"Interior pilasters, cornices, door/window frames, statues, facades, plasterwork, frescoes",Internal (DS/OUV),,"Rustication (ashlar), cobblestone paving, traditional Florentine stone masonry",Internal (DS/OUV),,"Exfoliation, atmospheric pollution degradation, humidity erosion, flood risk",Internal (DS/OUV),,,,,"Ongoing urban restoration, 2006 Management Plan, emergency flood risk measures",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"Webpage (Uploaded Document)	
1. UNESCO Official Dossier


2. Pietraforte Sandstone Research Study


3. ISPRA Geological Survey of Italian Stones"
907.0,Villa Adriana (Tivoli),Italy,"Imperial Roman Classical Architecture
",Internal (DS/OUV),,"2nd century A.D. (117 – 138 A.D., reign of Emperor Hadrian)",Internal (DS/OUV),,Ancient Roman / Early Roman Empire,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,"Cipollino Marble (Marmor Carystium), Granite, Marble, Travertine (Lapis Tiburtinus), Tufa",Internal (DS/OUV),,Metamorphic Rock,,,"Pavonazzetto, Porfido Rosso (Red Porphyry), Proconnesian Marble",,,,,,,,,,,,,,,Greenish-white with dark green bands (Cipollino); Grey/Pink/Red (Granite); Light beige to cream (Travertine),Internal (DS/OUV),,,,,,,,Euboea/Carystos quarries (Cipollino); Aswan quarries (Egyptian Granite); Tivoli / Barco quarries (Travertine & Tufa),Internal (DS/OUV),,"Italy (Local Travertine/Tufa), Greece (Cipollino Marble), Egypt (Granite)",Internal (DS/OUV),,Both: Travertine and Tufa are Local; Cipollino Marble and Egyptian Granite are Imported,Internal (DS/OUV),,,,,"Structural piers, load-bearing walls, foundations, and vaults (Tufa and Travertine); load-bearing columns (Travertine & Granite)",Internal (DS/OUV),,"Peristyle column shafts (Cipollino marble and Egyptian granite), floor pavements (opus sectile), wall revetments, porticos, and decorative statues",Internal (DS/OUV),,"Opus reticulatum, opus mixtum, opus testaceum (brick-faced concrete core), and opus quadratum (travertine ashlar block masonry)",Internal (DS/OUV),,"Atmospheric weathering, carbonate dissolution, biological growth, and material degradation from past exposure/neglect",Internal (DS/OUV),,,,,"Partial anastylosis, continuous consolidation, and structural preservation carried out under the Restoration Charter and the Italian Codice dei beni culturali e del Paesaggio",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"• ICOMOS Advisory Body Evaluation - Villa Adriana (Tivoli)


• Scientific studies on Roman building stone provenance published via the Italian Journal of Geosciences."
1306.0,Australian Convict Sites,Australia,skipped,,,,,,,,,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
1645.0,Dholavira: a Harappan City,India,"Fortified city, Water Reservoirs, and Cemetery",Internal (DS/OUV),,"ca. 3000–1500 BCE (Bronze Age / Early, Mature, and Late Harappan phases)",Internal (DS/OUV),,Harappan Civilization (Indus Valley Civilization),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Sandstone, Limestone, Agate, Carnelian, Steatite",Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Agate, Carnelian, Steatite, Banded Limestone",Internal (DS/OUV),,Khadir Sandstone / Calcareous Sandstone,Internal (DS/OUV),,"Calcareous Sandstone, Calcareous Mudstone, Fossiliferous Limestone",Internal (DS/OUV),,,,,Khadir Formation (Kachchh Basin),External,,"Yellowish-brown, reddish-brown, buff sandstone, white/banded limestone",Internal (DS/OUV),,,,,,,,Ancient stone quarry sites on Khadir Island (located in the buffer zone),Internal (DS/OUV),,India,Internal (DS/OUV),,"Local: Architectural Sandstone & Limestone from Khadir Island.

Imported/Traded: Raw minerals, metals, and semi-precious stones via regional trade.",Internal (DS/OUV),,Local: 1–5 km (Khadir Island for masonry stones).,,,"Fortification walls, Citadel, Castle, Bailey, Gateways, Water Reservoirs, Drains, and Mortuary structures.",Internal (DS/OUV),,"Polished stone column bases/rings, bead jewellery manufacturing (Agate, Carnelian, Steatite).",Internal (DS/OUV),,Cut/dressed stone masonry with mud-brick cores; mortise-and-tenon joints in stone pillars.,Internal (DS/OUV),,,,,,,,"Minimum intervention, in-situ consolidation, stabilization using scientific conservation principles by Archaeological Survey of India (ASI).",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Evaluation Document


2. UNESCO Official Dossier Ref 1645


3. Kachchh Basin Geological Survey (Sharma et al., 2020)"
945.0,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Victorian Gothic Revival blended with traditional Indian architecture,Internal (DS/OUV),,10 years starting in 1878 (1878–1888),Internal (DS/OUV),,19th-Century British Commonwealth / Colonial India,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Yellow Malad Stone, Italian Marble, Polished Granite, White Limestone",Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,"Italian Marble, Polished Granite, White Limestone",Internal (DS/OUV),,Local Yellow Malad Stone (Yellow Basalt),Internal (DS/OUV),,"Trachytic/Basaltic tuff (Malad yellow stone), crystalline marble, fine-grained limestone",External,Maitri Dore (2014),,,,,,,"Yellow (Malad stone), White (Limestone/Marble)",Internal (DS/OUV),,,,,na,,,Malad Quarries (Mumbai); Carrara (Italy),Internal (DS/OUV),,India (Malad stone) and Italy (Marble),Internal (DS/OUV),,Mixed (Local yellow Malad stone; Imported Italian marble),Internal (DS/OUV),,Local (<25 km) for Malad stone; International long-distance sea route for Italian marble,Internal (DS/OUV),,"Octagonal ribbed masonry dome, drum, turrets, pointed arches, main entrance gates, columns, and exterior walls",Internal (DS/OUV),,"3D-stone carvings of local flora and fauna, gargoyles, allegorical grotesques, arched tympana, portrait roundels, relief busts, decorated rose windows, lion/tiger gate pillars",Internal (DS/OUV),,"Ashlar stone masonry, octagonal ribbed dome masonry, bas-relief and openwork stone carving",Internal (DS/OUV),,Atmospheric degradation from air pollution/traffic emissions and chemical weathering from coastal saline air,Internal (DS/OUV),,,,,"Phase II conservation works ongoing under the long-term management plan by the Architectural Conservation Cell (ACC, initiated 1997)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"ICOMOS Advisory Body Evaluation, 
Official UNESCO Dossier, and 
Maitri Dore (2014)"
3.0,Aachen Cathedral,Germany,Palatine Chapel / Cathedral (Carolingian octagonal core with Gothic choir and additions),Internal (DS/OUV),,Began c. 790–800 (c. 793–813; consecrated 805),Internal (DS/OUV),,Carolingian (Frankish) Empire / Holy Roman Empire,Internal (DS/OUV),,,Internal (DS/OUV),,Marble,Internal (DS/OUV),,Metamorphic Rock,,,"Local quarry stone (Sandstone/Limestone), Granite (1840s replacement columns)",,,Aachen Bluestone / Aachener Blaustein (fossiliferous limestone),,,"Fossiliferous Limestone, Marble, Sandstone",,,Na,,,,,,Greek and Italian marble tones,Internal (DS/OUV),,,,,,,,"Local quarries (Aachen area); Ancient spolia sourced from Rome, Ravenna, and Cologne (St. Gereon)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Germany, Italy, Greece",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,"Local (immediate vicinity) to Long-distance (>1,000 km from Rome and Ravenna)",External,https://en.wikipedia.org/wiki/Aachen_Cathedral,,,,"Eight main octagonal piers, vaulted arcades, load-bearing exterior walls, octagonal drum, and dome cupola",Internal (DS/OUV),,"Antique interior marble columns/facade lining, Carolingian stone throne, Proserpine relief sarcophagus",Internal (DS/OUV),,,,,,,,,,,,,,Good,,,Yes,"ICOMOS Advisory Body Evaluation, Wikipedia: Aachen Cathedral Entry, and Wikimedia Commons Stone Archives"
