Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Mentioned Major Stone(s),Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
1,1133.0,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",Test1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99.0,Natural and Cultural Heritage of the Ohrid region,"Albania,North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1321.0,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement","Argentina,Belgium,France,Germany,India,Japan,Switzerland",,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1459.0,"Qhapaq Ñan, Andean Road System","Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru",,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
5,275.0,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)","Argentina,Brazil",,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1613.0,The Great Spa Towns of Europe,"Austria,Belgium,Czechia,France,Germany,Italy,United Kingdom of Great Britain and Northern Ireland",,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1363.0,Prehistoric Pile Dwellings around the Alps,"Austria,France,Germany,Italy,Slovenia,Switzerland",,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1608.0,Frontiers of the Roman Empire – The Danube Limes (Western Segment),"Austria,Germany,Slovakia",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
9,772.0,Fertö / Neusiedlersee Cultural Landscape,"Austria,Hungary",,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1584.0,Hyrcanian Forests,"Azerbaijan,Iran (Islamic Republic of)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1187.0,Struve Geodetic Arc,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
12,33.0,Białowieża Forest,"Belarus,Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,943.0,Belfries of Belgium and France,"Belgium,France",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1567.0,Funerary and memory sites of the First World War (Western Front),"Belgium,France",,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1555.0,Colonies of Benevolence,"Belgium,Netherlands (Kingdom of the)",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
16,749.0,W-Arly-Pendjari Complex,"Benin,Burkina Faso,Niger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1140.0,"Koutammakou, the Land of the Batammariba","Benin,Togo",,,,(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1504.0,Stećci Medieval Tombstone Graveyards,"Bosnia and Herzegovina,Croatia,Montenegro,Serbia",,,,(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1380.0,Sangha Trinational,"Cameroon,Central African Republic,Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,72.0,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,"Canada,United States of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,354.0,Waterton Glacier International Peace Park,"Canada,United States of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1442.0,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"China,Kazakhstan,Kyrgyzstan",,,,(ii)(iii)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
23,205.0,Talamanca Range-La Amistad Reserves / La Amistad National Park,"Costa Rica,Panama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,155.0,Mount Nimba Strict Nature Reserve,"Côte d'Ivoire,Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1533.0,Venetian Works of Defence between the 16th and 17th Centuries: <em>Stato da Terra</em> – Western <em>Stato da Mar</em>,"Croatia,Italy,Montenegro",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1478.0,Erzgebirge/Krušnohoří Mining Region,"Czechia,Germany",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1314.0,Wadden Sea,"Denmark,Germany,Netherlands (Kingdom of the)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1468.0,Moravian Church Settlements,"Denmark,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
29,898.0,High Coast / Kvarken Archipelago,"Finland,Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,773.0,Pyrénées - Mont Perdu,"France,Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1226.0,Stone Circles of Senegambia,"Gambia,Senegal",,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1631.0,Frontiers of the Roman Empire – The Lower German Limes,"Germany,Netherlands (Kingdom of the)",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1127.0,Muskauer Park / Park Mużakowski,"Germany,Poland",,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
34,430.0,Frontiers of the Roman Empire,"Germany,United Kingdom of Great Britain and Northern Ireland",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
35,91.0,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura","Holy See,Italy",,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
36,725.0,Caves of Aggtelek Karst and Slovak Karst,"Hungary,Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1276.0,Rhaetian Railway in the Albula / Bernina Landscapes,"Italy,Switzerland",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1090.0,Monte San Giorgio,"Italy,Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1490.0,Western Tien-Shan,"Kazakhstan,Kyrgyzstan,Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1693.0,Cold Winter Deserts of Turan,"Kazakhstan,Turkmenistan,Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,951.0,Phong Nha-Ke Bang National Park and Hin Nam No National Park,"Lao People's Democratic Republic,Viet Nam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,985.0,Maloti-Drakensberg Park,"Lesotho,South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,994.0,Curonian Spit,"Lithuania,Russian Federation",,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
44,769.0,Uvs Nuur Basin,"Mongolia,Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1448.0,Landscapes of Dauria,"Mongolia,Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,914.0,iSimangaliso Wetland Park – Maputo National Park,"Mozambique,South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1424.0,Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,"Poland,Ukraine",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
48,866.0,Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,"Portugal,Spain",,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1313.0,Heritage of Mercury. Almadén and Idrija,"Slovenia,Spain",,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
