Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
1,228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
2,232,"Humayun's Tomb, Delhi",India,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1645,Dholavira: a Harappan City,India,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
4,567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
5,252,Taj Mahal,India,Indo-Islamic sepulchral architecture,1632 AD - 1653 AD (Main mausoleum completed 1648 AD),Mughal Empire,(i) to represent a masterpiece of human creative genius;,White Marble,Red Sandstone,Makrana Marble (Note: This is historically accurate but missing from the official UNESCO text),Sedimentary (Quartzarenite),proterozoic,Vindhyan Supergroup,Pure white with greyish veins,Fine to medium-grained,"Calcite (chiefly), with minor quartz and mica","Makrana, Rajasthan",india,Imported,~300 km (from Makrana quarries to Agra),"Main tomb structure, minarets, platforms, domes, and wall veneering.","Exquisite octagonal marble lattice screens, pietra dura stone intarsia inlay (using precious/semi-precious stones), floral relief motifs, and Arabic calligraphic inscriptions.",Brick-in-lime mortar core veneered with dressed stone slices.,,,,,,,,No,,,
6,174,Historic Centre of Florence,Italy,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
7,132,Megalithic Temples of Malta,Malta,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
8,171,Fort and Shalamar Gardens in Lahore,Pakistan,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
9,173,Stone Town of Zanzibar,United Republic of Tanzania,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
10,736,Seokguram Grotto and Bulguksa Temple,Republic of Korea,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
11,788,Early Christian Monuments of Ravenna,Italy,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1016,Historical Centre of the City of Arequipa,Peru,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
13,524,Buddhist Monuments at Sanchi,India,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
14,395,"Piazza del Duomo, Pisa",Italy,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
15,535,"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
16,326,Petra,Jordan,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
17,677,Baroque Churches of the Philippines,Philippines,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
18,364,Great Zimbabwe National Monument,Zimbabwe,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
19,373,"Stonehenge, Avebury and Associated Sites",United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
20,255,Fatehpur Sikri,India,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
21,857,"La Grand-Place, Brussels",Belgium,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
22,367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Germany,,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1056,Mahabodhi Temple Complex at Bodh Gaya,India,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
