id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
1133,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,,,,0,1,"al,at,ba,be,bg,ch,cz,de,es,fr,hr,it,mk,pl,ro,si,sk,ua",2007
99,Natural and Cultural Heritage of the Ohrid region,Mixed,,,,0,1,"al,mk",1979
1321,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Cultural,,,,0,1,"ar,be,ch,de,fr,in,jp",2016
1459,"Qhapaq Ñan, Andean Road System",Cultural,,,,0,1,"ar,bo,cl,co,ec,pe",2014
275,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",Cultural,,,,0,1,"ar,br",1983
1613,The Great Spa Towns of Europe,Cultural,,,,0,1,"at,be,cz,de,fr,gb,it",2021
1363,Prehistoric Pile Dwellings around the Alps,Cultural,,,,0,1,"at,ch,de,fr,it,si",2011
1608,Frontiers of the Roman Empire – The Danube Limes (Western Segment),Cultural,,,,0,1,"at,de,sk",2021
772,Fertö / Neusiedlersee Cultural Landscape,Cultural,,,,0,1,"at,hu",2001
1584,Hyrcanian Forests,Natural,,,,0,1,"az,ir",2019
1187,Struve Geodetic Arc,Cultural,,,,0,1,"by,ee,fi,lt,lv,md,no,ru,se,ua",2005
33,Białowieża Forest,Natural,,,,0,1,"by,pl",1979
943,Belfries of Belgium and France,Cultural,,,,0,1,"be,fr",1999
1567,Funerary and memory sites of the First World War (Western Front),Cultural,,,,0,1,"be,fr",2023
1555,Colonies of Benevolence,Cultural,,,,0,1,"be,nl",2021
749,W-Arly-Pendjari Complex,Natural,,,,0,1,"bf,bj,ne",1996
1140,"Koutammakou, the Land of the Batammariba",Cultural,,,,0,1,"bj,tg",2004
1504,Stećci Medieval Tombstone Graveyards,Cultural,,,,0,1,"ba,hr,me,rs",2016
1380,Sangha Trinational,Natural,,,,0,1,"cf,cg,cm",2012
72,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,Natural,,,,0,1,"ca,us",1979
