unesco_id,site_name,country,region,year_inscribed,category,criteria,latitude,longitude,is_endangered,is_transnational,iso_code,unesco_url,brief_description,date_fetched
1133,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",Europe and North America,2007,Natural,(i)(x),38.13200000001,5.961,False,True,"al,at,ba,be,bg,ch,cz,de,es,fr,hr,it,mk,pl,ro,si,sk,ua",https://whc.unesco.org/en/list/1133,"Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe

This transnational property includes 93 component parts in 18 countries. Since the end of the last Ice Age, European Beech spread from a few isolated refuge areas in the Alps, Carpathians, Dinarides, Mediterranean and Pyrenees over a short period of a few thousand years in a process that is still ongoing. The successful expansion across a whole continent is related to the tree’s adaptability and tolerance of different climatic, geographical and physical conditions.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
99,Natural and Cultural Heritage of the Ohrid region,"Albania,North Macedonia",Europe and North America,1979,Mixed,(i)(iii)(i)(v)(vii),40.96729330932,0.6761045412,False,True,"al,mk",https://whc.unesco.org/en/list/99,"Natural and Cultural Heritage of the Ohrid region

A superlative natural phenomenon, Lake Ohrid provides a refuge for numerous endemic species of freshwater fauna and flora dating from the Tertiary period. Situated on the shores of the lake, the town of Ohrid is one of the oldest human settlements in Europe. Built mainly between the 7th and 19th centuries, it has the oldest Slav monastery (St Pantelejmon) and more than 800 Byzantine-style icons dating from the 11th to the end of the 14th century. In the shallow waters near the shores of the lake, three sites testify to the presence of prehistoric pile dwellings, and the small Lin Peninsula is the site of the remains of an Early Christian church founded in the middle of the 6th century.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1321,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement","Argentina,Belgium,France,Germany,India,Japan,Switzerland","Asia and the Pacific,Europe and North America,Latin America and the Caribbean",2016,Cultural,(i)(ii)(vi),-34.9113416667,-57.941825,False,True,"ar,be,ch,de,fr,in,jp",https://whc.unesco.org/en/list/1321,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement

Chosen from the work of Le Corbusier, the 17 sites comprising this transnational serial property are spread over seven countries and are a testimonial to the invention of a new architectural language that made a break with the past. They were built over a period of a half-century, in the course of what Le Corbusier described as “patient research”. The Complexe du Capitole in Chandigarh (India), the National Museum of Western Art, Tokyo (Japan), the House of Dr Curutchet in La Plata (Argentina) and the Unité d’habitation in Marseille (France) reflect the solutions that the Modern Movement sought to apply during the 20th century to the challenges of inventing new architectural techniques to respond to the needs of society. These masterpieces of creative genius also attest to the internationalization of architectural practice across the planet.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1459,"Qhapaq Ñan, Andean Road System","Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru",Latin America and the Caribbean,2014,Cultural,(ii)(iii)(i)(v)(vi),-0.05,-78.2,False,True,"ar,bo,cl,co,ec,pe",https://whc.unesco.org/en/list/1459,"Qhapaq Ñan, Andean Road System

This site is an extensive Inca communication, trade and defence network of roads covering 30,000 km. Constructed by the Incas over several centuries and partly based on pre-Inca infrastructure, this extraordinary network through one of the world’s most extreme geographical terrains linked the snow-capped peaks of the Andes – at an altitude of more than 6,000 m – to the coast, running through hot rainforests, fertile valleys and absolute deserts. It reached its maximum expansion in the 15th century, when it spread across the length and breadth of the Andes. The Qhapac Ñan, Andean Road System includes 273 component sites spread over more than 6,000 km that were selected to highlight the social, political, architectural and engineering achievements of the network, along with its associated infrastructure for trade, accommodation and storage, as well as sites of religious significance.

 

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
275,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)","Argentina,Brazil",Latin America and the Caribbean,1983,Cultural,(i)(v),-27.255708,-55.531436,False,True,"ar,br",https://whc.unesco.org/en/list/275,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)

The ruins of São Miguel das Missões in Brazil, and those of San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto and Santa María la Mayor in Argentina, lie at the heart of a tropical forest. They are the impressive remains of five Jesuit missions, built in the land of the Guaranis during the 17th and 18th centuries. Each is characterized by a specific layout and a different state of conservation.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1613,The Great Spa Towns of Europe,"Austria,Belgium,Czechia,France,Germany,Italy,United Kingdom of Great Britain and Northern Ireland",Europe and North America,2021,Cultural,(ii)(iii),43.88721647681,0.7749785403,False,True,"at,be,cz,de,fr,gb,it",https://whc.unesco.org/en/list/1613,"The Great Spa Towns of Europe

This transnational serial property comprises eleven spa towns, located in seven European countries: Baden bei Wien (Austria); Spa (Belgium); Františkovy Lázně; Karlovy Vary; Mariánské Lázně (Czechia); Vichy (France); Bad Ems; Baden-Baden; Bad Kissingen (Germany); Montecatini Terme (Italy); and City of Bath (United Kingdom). All of these towns developed around natural mineral water springs. They bear witness to the international European spa culture that developed from the early 18th century to the 1930s, leading to the emergence of grand international resorts that impacted urban typology around ensembles of spa buildings such as baths, kurhaus and kursaal (buildings and rooms dedicated to therapy), pump rooms, drinking halls, colonnades and galleries designed to harness the natural mineral water resources and to allow their practical use for bathing and drinking. Related facilities include gardens, assembly rooms, casinos, theatres, hotels and villas, as well as spa-specific support infrastructure. These ensembles are all integrated into an overall urban context that includes a carefully managed recreational and therapeutic environment in a picturesque landscape. Together, these sites embody the significant interchange of human values and developments in medicine, science and balneology.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1363,Prehistoric Pile Dwellings around the Alps,"Austria,France,Germany,Italy,Slovenia,Switzerland",Europe and North America,2011,Cultural,(i)(v)(v),45.10765100001,0.392976,False,True,"at,ch,de,fr,it,si",https://whc.unesco.org/en/list/1363,"Prehistoric Pile Dwellings around the Alps

This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only conducted in some of the sites, have yielded evidence that provides insight into life in prehistoric times during the Neolithic and Bronze Age in Alpine Europe and the way communities interacted with their environment. Fifty-six of the sites are located in Switzerland. The settlements are a unique group of exceptionally well-preserved and culturally rich archaeological sites, which constitute one of the most important sources for the study of early agrarian societies in the region.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1608,Frontiers of the Roman Empire – The Danube Limes (Western Segment),"Austria,Germany,Slovakia",Europe and North America,2021,Cultural,(ii)(iii)(i)(v),47.74499722221,8.1981916666,False,True,"at,de,sk",https://whc.unesco.org/en/list/1608,"Frontiers of the Roman Empire – The Danube Limes (Western Segment)

It covers almost 600km of the whole Roman Empire’s Danube frontier. The property formed part of the much large frontier of the Roman Empire that encircled the Mediterranean Sea. The Danube Limes (Western Segment) reflects the specificities of this part of the Roman Frontier through the selection of sites that represent key elements from roads, legionary fortresses and their associated settlements to small forts and temporary camps, and the way these structures relate to local topography. 

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
772,Fertö / Neusiedlersee Cultural Landscape,"Austria,Hungary",Europe and North America,2001,Cultural,(v),47.71927778001,6.72272222,False,True,"at,hu",https://whc.unesco.org/en/list/772,"Fertö / Neusiedlersee Cultural Landscape

The Fertö/Neusiedler Lake area has been the meeting place of different cultures for eight millennia. This is graphically demonstrated by its varied landscape, the result of an evolutionary symbiosis between human activity and the physical environment. The remarkable rural architecture of the villages surrounding the lake and several 18th- and 19th-century palaces adds to the area’s considerable cultural interest.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
1584,Hyrcanian Forests,"Azerbaijan,Iran (Islamic Republic of)","Asia and the Pacific,Europe and North America",2019,Natural,(i)(x),36.09883055555,3.39375,False,True,"az,ir",https://whc.unesco.org/en/list/1584,"Hyrcanian Forests

The Hyrcanian Forests form a unique forested massif that stretches along the Caspian Sea in Azerbaijan and Iran. The history of these broad-leaved forests dates back 25 to 50 million years, when they covered most of this Northern Temperate region. Their floristic biodiversity is remarkable with over 3,200 vascular plant species documented. To date, 180 species of birds typical of broad-leaved temperate forests and 58 mammal species have been recorded. Elements of the property comprise full ecosystems including top predators such as leopard, wolf and brown bear, and the forest has a high degree of rare and endemic tree species. The oldest trees seen here are 300-400 years old, with some possibly up to 500 years old.

Description is available under license CC-BY-SA IGO 3.0",2026-07-14
