Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
364,Great Zimbabwe National Monument,Zimbabwe,"Dry-stone monumental masonry architecture (Hill Ruins, Great Enclosure, Valley Ruins, Conical Tower, Enclosure Walls); nan",Internal (DS/OUV),,1100 to 1450 AD (11th to 15th centuries AD),Internal (DS/OUV),,Bantu / Shona civilization (Iron Age),Internal (DS/OUV),,,Internal (DS/OUV),,Granite,Internal (DS/OUV),,Igneous Rock,,,Soapstone / Steatite (used for upright posts and carved Zimbabwe Birds); Granitic sand and clay mixture (Daga),Internal (DS/OUV),,"Daga (traditional mixture of clay and granitic sand used for bricks, huts, and floors)",Internal (DS/OUV),,Biotite Granite / Talc-schist (Steatite),External,https://www.iccrom.org/sites/default/files/publications/2019-11/iccrom_ics04_zimbabwe_en.pdf,,,,,,,,,,,,,,,,Local granite hill outcrops and naturally exfoliated granite spalls surrounding the Great Zimbabwe site,Internal (DS/OUV),,Zimbabwe,Internal (DS/OUV),,Local (Granite obtained directly at the site; Steatite sourced regionally within Zimbabwe),Internal (DS/OUV),,,,,"Enclosure perimeter walls, Conical Tower, passageways, foundations, and lintels",Internal (DS/OUV),,"Chevron pattern, chequered wall decorations, carved upright ritual posts, and soapstone bird figurines",Internal (DS/OUV),,"Dry stone masonry without mortar, laid in regular horizontal courses using split/dressed granite blocks",Internal (DS/OUV),,"Temperature fluctuations, soil moisture variations, and invasive vegetation encroachment (Lantana camara)",Internal (DS/OUV),,,,,"Dry-stone wall collapse monitoring, vegetation control, and structural stabilization under the National Museums and Monuments of Zimbabwe (NMMZ)",Internal (DS/OUV),,Good,,,Yes,"ICOMOS Advisory Body Evaluation, ICCROM Preservation Study, MDPI Heritage & Sustainability Article",,,Tier 9: Unflagged,
1720,The Historic Town and Archaeological Site of Gedi,Kenya,"Swahili coastal architecture (domestic, religious, civic, tombs, palace complex, grand mosque, sunken courts, city walls); nan",Internal (DS/OUV),,10th to 17th centuries (particularly 15th–17th centuries),Internal (DS/OUV),,Swahili Islamic Civilization,Internal (DS/OUV),,,Internal (DS/OUV),,Coral stone / Coral rag,Internal (DS/OUV),,Sedimentary Rock,,,,,,Coral rag,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Kenya,Internal (DS/OUV),,Local (Building stones); Imported luxury items (Porcelain/Glass),Internal (DS/OUV),,,,,"Walls, domestic structures, mosques, tombs, palace complex, wells, water sumps",Internal (DS/OUV),,Mosques and tombs embellished with carvings and inset Chinese porcelain,Internal (DS/OUV),,Coral rag/stone laid with lime mortar and earth mortar,Internal (DS/OUV),,Vulnerable; affected by vegetation and potential fire risks,Internal (DS/OUV),,,,,Traditional building materials and methods respected during maintenance,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,"Settlements, Necropolises (tombs), Monumental Towers, Fort, Irrigation Systems/Dams; nan",Internal (DS/OUV),,"3rd Millennium BCE (Bronze Age: Hafit Period, Early & Late Umm an-Nar periods; Iron Age; Neolithic)",Internal (DS/OUV),,Early Bronze Age / Umm an-Nar & Hafit Cultures / Ancient Magan,Internal (DS/OUV),,,,,Limestone,Internal (DS/OUV),,Sedimentary Rock,,,Flint (used in Neolithic mines/workshops),Internal (DS/OUV),,,,,"Dressed limestone blocks, Mud-brick (underneath earlier structures)",Internal (DS/OUV),,,,,,,,,,,Dressed / regularly cut stone blocks,Internal (DS/OUV),,,,,Local ancient Bronze Age quarries & stone-masonry workshops,Internal (DS/OUV),,Sultanate of Oman,Internal (DS/OUV),,Local,Internal (DS/OUV),,Immediate vicinity of settlements/workshops,Internal (DS/OUV),,"Circular outer walls of towers, beehive tombs, cairn tombs, foundations, terraces",Internal (DS/OUV),,,,,"Dry-stone masonry, dressed blocks laid carefully with simple mud mortar",Internal (DS/OUV),,"Damaged slightly by action of time, natural erosion, and weathering processes",Internal (DS/OUV),,,,,Planned restoration for the monumental tower Kasr al-Rojoom,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
365,Khami Ruins National Monument,Zimbabwe,Complex series of platforms of dry-stone walled structures; nan,Internal (DS/OUV),,1450 – 1650,Internal (DS/OUV),,Torwa dynasty (arose from the collapse of the Great Zimbabwe Kingdom),Internal (DS/OUV),,,Internal (DS/OUV),,Granite,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Granite,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Local (Dry-stone building traditions surrounding the site area),Internal (DS/OUV),,,,,"Retaining walls/revetments, platforms, passage ways, perambulatory galleries, Chief's residence (Mambo), terraces, and a monumental granite cross",Internal (DS/OUV),,"Retaining walls/revetments, platforms, passage ways, perambulatory galleries, Chief's residence (Mambo), terraces, and a monumental granite cross",,,Dry-stone masonry / Anastylosis (for restoration),Internal (DS/OUV),,"Variations in temperature, rain-induced ground creepage (causing wall cracks, bulges, and collapses), ground water, natural erosion, encroaching vegetation",Internal (DS/OUV),,None used (restoration uses traditional methods/anastylosis with no new materials added),Internal (DS/OUV),,Anastylosis using traditional methods without adding new materials,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
149,Archaeological Park and Ruins of Quirigua,Guatemala,"Pyramids, terraces, staircases, dwellings, royal residence, administrative centre; nan",Internal (DS/OUV),,200 AD – 900 AD (Monuments carved 426 AD – 810 AD; major 8th-century remodelling),Internal (DS/OUV),,Maya (Mayan),Internal (DS/OUV),,,Internal (DS/OUV),,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,Jade (mentioned in context of trade route control),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pyramids, terraces, staircases, plazas",,,"Monolithic stelae, carved altars, sculpted calendars, zoomorphic & anthropomorphic sculptures",Internal (DS/OUV),,"Carved in sandstone without the use of metal tools; high relief (""School of Motagua"" style)",Internal (DS/OUV),,"Damage caused by environmental factors, flooding (1998, 2010), and proximity to Motagua River and geological fault",Internal (DS/OUV),,,,,Minimal conservation interventions; new shelter facilities and designs developed for individual monument protection,Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
372,Studley Royal Park including the Ruins of Fountains Abbey,United Kingdom of Great Britain and Northern Ireland,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,"Central-domed cross-hall type church, four-column domed basilica, three-aisled basilica, circular structure; nan",Internal (DS/OUV),,"AD 301–303 (Cathedral), AD 618 (St. Hripsime), AD 630 (St. Gayane), Middle of 7th century (Zvartnots), AD 1694 (St. Shoghakat), AD 1767 (St. Mariam Astvatsatsin)",Internal (DS/OUV),,Early Christian / Medieval Armenian,Internal (DS/OUV),,,Internal (DS/OUV),,Tuff (stone of volcanic origin),Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Marble,Internal (DS/OUV),,,,,"Tuff (volcanic ash/pyroclastic rock), Marble",Internal (DS/OUV),,,,,,,,Brown (well-processed tuff at St Shoghakat),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Walls, dome/roofing slabs, pillars, vaults, foundations, columns",Internal (DS/OUV),,"Internal marble painting surface (main apse fresco base), rich bas-reliefs and high-reliefs",Internal (DS/OUV),,Well-processed tuff blocks,Internal (DS/OUV),,,,,Lead roofing replaced by stone slabs (2000 AD),Internal (DS/OUV),,Roof and walls renovated in 1652; monastery renovated 1866–1882; dome stone slabs added in 2000,Internal (DS/OUV),,Good,Internal (DS/OUV),,,,,,Tier 9: Unflagged,
415,Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Mexico,skipped; nan,,,,,,,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
211,Minaret and Archaeological Remains of Jam,Afghanistan,skipped; nan,,,,,,,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",Italy,"Residential, Commercial, and Public Urban Architecture (Atrium Houses, Suburban Villas, Forum, Baths, Theatres, Amphitheatre, Palaestra, Thermopolia/Shops); nan",Internal (DS/OUV),,Early Roman Empire / 3rd century BC to 1st century AD (79 AD Eruption),Internal (DS/OUV),,Ancient Roman Civilization,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,"Volcanic Ash, Lapilli",Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,,,,,,,Volcanic Ash Deposit and Pyroclastic Lapilli,Internal (DS/OUV),,,,,,,,,,,Pyroclastic / Fragmental,Internal (DS/OUV),,,,,,,,,,,Local (Volcanic eruptive deposits originating from Mount Vesuvius),Internal (DS/OUV),,,,,"Enclosure and load-bearing walls, colonnades, paving, and urban infrastructure",Internal (DS/OUV),,"Wall paintings, frescos, illusionistic architectural motifs, and mosaic floors",Internal (DS/OUV),,,,,"Active environmental decay, collapse risks from water/exposure, and historical thermal carbonization during the eruption",Internal (DS/OUV),,,,,"Modern consolidation, progressive introduction of enduring techniques/materials, 1950s open-air museum restoration (Amedeo Maiuri), and structural stabilization under the ""Grande Progetto Pompei"" (2012)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
129,Maya Site of Copan,Honduras,"Ruined citadel, imposing public squares, pyramids, terraces, temples, plazas, ball courts, stadium, and residential complexes; nan",Internal (DS/OUV),,"Classic Maya Period (AD 300–900); first population evidence ~1500 B.C., first Maya-Cholan immigration ~100 A.D., dynasty started 427 A.D.",Internal (DS/OUV),,Classic Maya Civilization,Internal (DS/OUV),,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Obsidian (Mentioned in OUV: stairway figures inlaid with obsidian),Internal (DS/OUV),,Igneous Rock,,,,,,,,,,,,,,,,,,Black (associated with obsidian),Internal (DS/OUV),,,,,,,,,,,,,,"Imported / Regional movement (Immigration & leaders coming from Petén / Guatemalan Highlands, but specific stone provenance is not stated)",Internal (DS/OUV),,,,,"Pyramids, terraces, temples, plazas, altars, stadium, ball courts, mounds",Internal (DS/OUV),,"Sculptured monoliths and altars; Hieroglyphic Stairway with over 1,800 glyphs; stairway sculptured with jaguar figures",Internal (DS/OUV),,"Paved expanse, level plazas, elevated masses, in situ sculpture and stonework",Internal (DS/OUV),,"River erosion, microflora growth, seismic vulnerability (earthquake damage)",Internal (DS/OUV),,Replicas used in situ for preservation while originals moved to Sculpture Museum,Internal (DS/OUV),,Restoration projects carried out following international standards since 1980,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
88,Nubian Monuments from Abu Simbel to Philae,Egypt,"Temples, Tombs, Sanctuary, Kiosk, Monastery, Gate, Ruins; nan",Internal (DS/OUV),,"Old Kingdom, Middle Kingdom, New Kingdom (15th century BCE) to Ptolemaic and Roman periods (2nd century CE)",Internal (DS/OUV),,Ancient Egyptian / Nubian / Greco-Roman / Coptic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Granite ,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Granite (Mentioned under Criterion iii & Protection requirements),Internal (DS/OUV),,,,,,,,,,,,,,,,,Stone quarries of Aswan / Granite quarries of the Cataract area,Internal (DS/OUV),,Egypt,Internal (DS/OUV),,Local (Exploited within the Aswan region),Internal (DS/OUV),,,,,"Temples carved out of solid rock escarpment (rock-cut architecture), obelisks, colossi, sanctuary walls",Internal (DS/OUV),,"Richly decorated tombs, relief sculptures/scenes",Internal (DS/OUV),,Ancient Egyptian quarrying and rock-cut techniques (disassembled and reconstructed during relocation),Internal (DS/OUV),,"Affected by wind, temperature change, rains, humidity, bird droppings, and dust",Internal (DS/OUV),,,,,"International UNESCO Campaign (1960–1980): Monuments were disassembled, moved, and reconstructed to save them from Nile flooding",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,United Republic of Tanzania,"Architectural, Building, Design, Layout, Monument, Plan, Structure; nan",,,9th to 19th century (peak prosperity 13th–14th century),Internal (DS/OUV),,Swahili coastal culture / Islamic East Africa,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Coral Stone, Coral, Carnelian",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (coral stone) / Imported (carnelians traded via Indian Ocean),Internal (DS/OUV),,,,,"Built of coral and lime mortar (Great Mosque, domes, vaults, Husuni Kubwa palace, Gereza fort, domestic dwellings, enclosing walls)",Internal (DS/OUV),,"Embedded Chinese porcelain in domes/vaults; carnelians, perfumes, Persian faience",Internal (DS/OUV),,Coral stone bonded with lime mortar,Internal (DS/OUV),,"Subject to invasion by vegetation, inundation by the sea, climate change impact (wave action, beach erosion)",Internal (DS/OUV),,Coral stone (used for consolidation during conservation),Internal (DS/OUV),,Limited consolidation using coral stone and appropriate materials; ongoing conservation programme,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
