Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
942,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Greece,"skipped, but promising; nan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
561,Rangiri Dambulla Cave Temple,Sri Lanka,skipped; bvhp,,,,,,,,,"(i) to represent a masterpiece of human creative genius; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,bvhp,bvhp,Tier 6: High Probability Ashlar / Urban Core (1-v Very High),
1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"China,Kazakhstan,Kyrgyzstan","Capital cities, palace complexes, Buddhist cave temples, posthouses, passes, beacon towers, sections of the Great Wall, fortifications, tombs, stupas/pagodas, caravanserai, semi-underground buildings; nan",Internal (DS/OUV),,2nd century BC to 16th century AD (flourished 6th to 14th century AD),Internal (DS/OUV),,"Han and Tang Dynasties (China), Sogdians, Turks, Khan Kingdoms, Zhetysu region empires",Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Loess; unbaked/exposed mud brick (in Zhetysu region),Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,Loess,,,,,,Quaternary (Loess Plateau deposits),Internal (DS/OUV),,,,,,,,"Fine-grained, wind-blown silt (Loess)",Internal (DS/OUV),,,,,,,,"China, Kazakhstan, Kyrgyzstan",Internal (DS/OUV),,"Local (Loess plateau soils, clay/mud bricks sourced on-site)",Internal (DS/OUV),,,,,"Earthen walls, subterranean structures, cave temple excavations, beacon towers, earthen fortifications, foundations",Internal (DS/OUV),,Relief carvings and statues in Buddhist cave temples,Internal (DS/OUV),,"Rammed earth (hangtu), carved cave-temple rock-cut masonry, unbaked mud-brick masonry",Internal (DS/OUV),,"High vulnerability to water/wind erosion, severe atmospheric deterioration on exposed earth/brick structures",Internal (DS/OUV),,,,,Backfilling and earth covering of exposed brick structures (Zhetysu region); traditional-style screen wall interventions,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
440,Mogao Caves,China,skipped; bvhp,,,,,,,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,bvhp,bvhp,Tier 6: High Probability Ashlar / Urban Core (1-v Very High),
242,Ajanta Caves,India,skipped; bvvvhp,,,,,,,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,bvvvhp,bvvvhp,Tier 4: Exceptional Stone Fortress / Cathedral / Mosque (3-v Very Very High),
1426,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",France,"Monument, Design, Plan, Cave/Subterranean Space; nan",Internal (DS/OUV),,"Aurignacian period (30,000–32,000 BP / Palaeolithic)",Internal (DS/OUV),,Aurignacian people (Early Upper Palaeolithic),Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Limestone,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,Limestone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,France,,,Local (In-situ natural cave formed within the local limestone plateau),Internal (DS/OUV),,,,,"Natural cavern walls, floor, and limestone plateau structure housing the drawings",Internal (DS/OUV),,"Rock art, drawings, and engravings on cave walls",Internal (DS/OUV),,,,,"Rockfall (~20,000 years BP sealed the cave); humidity/air composition variations identified as key threats",Internal (DS/OUV),,,,,Non-intervention policy inside the original cave; stainless steel bridging installed to prevent floor damage; full facsimile reconstruction created offsite (Espace de Restitution),Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
310,Cave of Altamira and Paleolithic Cave Art of Northern Spain,Spain,Cave art; nan,Internal (DS/OUV),,"Upper Palaeolithic (35,000 – 11,000 BP / BC)",Internal (DS/OUV),,Aurignacian to Magdalenian period (Homo sapiens / Upper Palaeolithic Hunter-gatherers),Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Flint (used as a tool),,,Igneous Rock,,,,,,,,,Karst caves / limestone cavities (implied by karst environment),Internal (DS/OUV),,Upper Palaeolithic (Quaternary),Internal (DS/OUV),,,,,,,,,,,"Iron oxides, Manganese oxides",,,Direct originating from the immediate environment,Internal (DS/OUV),,Spain,Internal (DS/OUV),,Local (materials directly originating from the immediate environment),Internal (DS/OUV),,,,,"Ceiling, Foundation, Gallery, Wall",Internal (DS/OUV),,"Rock / Cave Art (painting, engraving, carving, sculpture)",Internal (DS/OUV),,,,,"Natural causes, water run-off, external climatic influences, microbiological activities",Internal (DS/OUV),,,,,No restoration has ever been carried out on Palaeolithic works of art,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
243,Ellora Caves,India,"Rock-cut architecture (Viharas/Monasteries, Chaityagriha/Sanctuary, and Monolithic Temples); nan",Internal (DS/OUV),,"5th century to 12th century A.D. (Three phases: Buddhist 5th–8th c., Brahmanical 7th–10th c., Jaina 9th–12th c.)",Internal (DS/OUV),,"Ancient India (Buddhism, Brahmanism/Hinduism, and Jainism)",Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Basalt,,,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,Direct in-situ rock excavation (Charanandri Hills / Basalt Cliff),Internal (DS/OUV),,India,Internal (DS/OUV),,Local (in-situ monolithic excavation),Internal (DS/OUV),,,,,"Excavated sanctuaries, pillared halls (mandapas), rock-cut monolithic temples, monasteries (viharas)",Internal (DS/OUV),,"Sculptured compositions, high plastic quality relief carvings, and ceiling paintings",Internal (DS/OUV),,Rock-cut monolithic excavation (dug directly into the cliff side),Internal (DS/OUV),,Seepage and cracking in the caves,Internal (DS/OUV),,,,,"Comprehensive Conservation Management Plan implementation, condition survey",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
244,Elephanta Caves,India,skipped; bvvvvvhp,,,,,,,,,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,bvvvvvhp,bvvvvvhp,Tier 2: Massive Cliff Rock Art / Bedrock Substrate (5-v Extremely High),
1370,Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Israel,"Underground chambers / artificial cave complexes (cisterns, oil presses, baths, columbaria, stables, hideaways, tombs, places of worship); nan",Internal (DS/OUV),,"8th century BCE (Iron Age) to the Crusades (spanning ~2,000 years)",Internal (DS/OUV),,"Judean / Hellenistic, Roman, Byzantine, and Crusader cultures",Internal (DS/OUV),,,Internal (DS/OUV),,Chalk,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,Thick and homogeneous soft chalk,Internal (DS/OUV),,Lower Judea formation (Sub-strata),Internal (DS/OUV),,,,,,,,"Homogeneous, soft",Internal (DS/OUV),,,,,Excavated / quarried directly in-situ underneath the ancient towns,Internal (DS/OUV),,Israel,Internal (DS/OUV),,Local (Subsurface bedrock),Internal (DS/OUV),,,,,"Subterranean chamber walls, vaulted arches, supporting pillars, underground channels",Internal (DS/OUV),,,,,Rock-cut / Hand-carved underground excavation,Internal (DS/OUV),,Risk of water infiltration leading to potential vault collapse; rock instability,Internal (DS/OUV),,,,,"Policy of low-key restoration, avoiding over-interpretation/reconstruction; technical consolidation of cave walls and vaults",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
