Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
1306,Australian Convict Sites,Australia,skipped; nan,,,,,,,,,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Tier 9: Unflagged,
249,Group of Monuments at Mahabalipuram,India,Skipped; bvvvhp,Internal (DS/OUV),,"6th–9th centuries CE (Pallava period, primarily under King Narasimhavarman I Mamalla and Narasimhavarman II Rajasimha)",Internal (DS/OUV),,Pallava Dynasty / South Indian Classical,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,Internal (DS/OUV),,Local (carved in live bedrock),Internal (DS/OUV),,Minimal to none (In-situ carving or immediate local quarrying),,,,Internal (DS/OUV),,"Bas-relief panels, monolithic animal sculptures, carved pillars, and wall motifs",Internal (DS/OUV),,Direct rock-cut carving (monolithic) and dressed ashlar masonry blocks,Internal (DS/OUV),,,,,,,,Regular maintenance and conservation schedule by the Archaeological Survey of India (ASI); sand excavation around buried structures,,,Moderate,Internal (DS/OUV),,No,"• Rao et al. (2006) - Journal of Earth System Science


• Vora & Sundaresh - CSIR-NIO Study


• Sundaresh et al. - CSIR-NIO Marine Archaeology Study",,,Tier 9: Unflagged,
535,"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,skipped; bvvvvhp,Internal (DS/OUV),,Founded 10th century (922–936 AD); current Romanesque church built 1070–1129 AD; timber-framed houses span the 16th–17th centuries.,Internal (DS/OUV),,Ottonian Empire / Holy Roman Empire / Medieval German State.,Internal (DS/OUV),,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Tier 9: Unflagged,
704,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,Skipped; bvhp,Internal (DS/OUV),,"478 BC to Jin, Ming, and Qing Dynasties",Internal (DS/OUV),,Ancient Chinese / Imperial China (Confucian Culture),Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Fine-grained, Carved / Relief",Internal (DS/OUV),,,,,,,,,,,,,,,,,"Dragon-wrapped columns, balusters, pillars, gate foundations",Internal (DS/OUV),,"Han stone reliefs, stone dragon carvings, stelae, memorial stone tablets",Internal (DS/OUV),,"High-relief carving, openwork carving, dressed stone ashlar",Internal (DS/OUV),,,,,,,,,,,Excellent,,,No,,,,Tier 9: Unflagged,
958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,Skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
1605,"Jaipur City, Rajasthan",India,Skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Croatia,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
821,Historic Centre of São Luís,Brazil,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
1052,Tugendhat Villa in Brno,Czechia,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
91,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura","Holy See,Italy",Skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
