architectural_element,frequency
wall,116
base,97
capital,65
church,64
tower,54
palace,53
temple,53
foundation,43
terrace,36
tomb,36
roof,36
gate,34
floor,33
fort,26
facade,25
mosque,24
column,24
bridge,24
monastery,24
pillar,24
arch,23
sanctuary,22
cathedral,22
dome,21
gallery,20
bath,20
courtyard,19
fortress,19
castle,18
vault,17
shrine,17
basilica,16
theatre,14
altar,13
gateway,12
mausoleum,12
ceiling,11
cloister,9
staircase,9
pavilion,8
portico,8
nave,8
aqueduct,7
amphitheatre,7
minaret,6
pyramid,6
drum,5
cupola,5
stupa,5
moat,5
frieze,5
abbey,5
balcony,5
corbel,4
parapet,4
lintel,4
pediment,4
apse,4
buttress,4
pinnacle,4
spire,4
shaft,4
thermae,3
gargoyle,3
mandapa,3
transept,3
gable,3
cenotaph,2
crypt,2
peristyle,2
pier,2
ambulatory,2
shikhara,2
atrium,2
squinch,2
pagoda,2
cornice,2
bracket,2
vimana,2
cantilever,2
voussoir,1
rose window,1
turret,1
balustrade,1
gopura,1
lantern,1
tympanum,1
finial,1
cella,1
narthex,1
plinth,1
garbhagriha,1
arena,1
