construction_term,frequency
capital,65
quarry,27
masonry,25
megalithic,9
rubble,8
rock cut,6
pilaster,6
mason,5
stone carving,5
stone masonry,5
frieze,5
dry stone,5
parapet,4
lintel,4
monolithic,4
stelae,4
pediment,4
pinnacle,4
ionic,3
gargoyle,3
tuscan,3
ashlar,3
monolith,3
quarried,3
stone cutter,2
pier,2
stonecutter,2
composite,2
facing,2
cut stone,2
revetment,2
corinthian,2
cornice,2
doric,2
megalith,2
standing stone,2
bluestone,2
ashlar masonry,2
obelisk,2
drystone,2
cave temple,2
veneer,1
voussoir,1
rose window,1
turret,1
balustrade,1
cobblestone,1
rubble masonry,1
cyclopean,1
battlement,1
tympanum,1
threshold,1
quoin,1
finial,1
volute,1
fluting,1
orthostat,1
menhir,1
stone mason,1
freestone,1
sill,1
plinth,1
natural stone,1
stele,1
subterranean stone,1
stonemason,1
building stone,1
