stone_type,frequency
limestone,49
sandstone,37
marble,32
granite,23
coal,15
adobe,12
red sandstone,9
flint,8
slate,7
laterite,6
tuff,6
white marble,5
coral stone,5
basalt,5
volcanic rock,5
lava,5
coralline,4
chalk,4
peat,4
coralline limestone,3
obsidian,3
soapstone,3
gypsum,3
amber,3
flagstone,2
conglomerate,2
carnelian,2
steatite,2
andesite,2
tufa,2
granitic,2
jet,2
alabaster,2
stalactite,2
serpentine,2
volcanic ash,2
loess,2
volcanic tuff,2
cipollino,1
cipollino marble,1
istrian stone,1
ragstone,1
pietra forte,1
pietra serena,1
jasper,1
chert,1
agate,1
red marble,1
white granite,1
piperno,1
oolitic,1
oolitic limestone,1
coral rag,1
rag,1
buff sandstone,1
roofing slate,1
calcareous sandstone,1
columnar basalt,1
volcanic stone,1
millstone,1
scoria,1
schist,1
dolerite,1
freestone,1
travertine,1
coral rock,1
onyx,1
lapilli,1
gneiss,1
red slate,1
porphyry,1
chalky,1
basaltic,1
rock salt,1
breccia,1
dolomitic,1
dolomitic limestone,1
quartzite,1
quartzitic,1
laterite stone,1
