architectural_element,frequency
base,317
wall,291
church,231
capital,195
palace,180
tower,149
foundation,129
temple,111
cathedral,108
gate,100
roof,99
monastery,93
fortress,90
tomb,87
castle,76
bridge,73
terrace,70
mosque,67
facade,56
courtyard,55
fort,51
sanctuary,47
floor,47
shrine,46
gallery,46
arch,44
theatre,42
column,41
dome,38
basilica,37
vault,37
bath,37
ceiling,34
nave,31
pavilion,28
mausoleum,27
cloister,26
minaret,26
abbey,24
gateway,22
aqueduct,20
pillar,19
altar,19
staircase,17
apse,15
portico,15
transept,14
gable,14
moat,14
amphitheatre,14
cupola,13
shaft,13
stupa,12
spire,12
pyramid,12
balcony,11
narthex,11
lantern,10
pagoda,10
frieze,9
pinnacle,9
crypt,8
pier,8
buttress,8
turret,7
cornice,7
hypostyle,6
atrium,6
mandapa,5
parapet,5
drum,5
arena,5
balustrade,4
tympanum,4
lintel,4
bracket,4
pediment,3
vimana,3
chancel,3
peristyle,3
ambulatory,2
tracery,2
oculus,2
cella,2
crenellation,2
garbhagriha,2
iwan,2
plinth,2
torana,1
mihrab,1
corbel,1
candi,1
drawbridge,1
squinch,1
voussoir,1
machicolation,1
shikhara,1
pronaos,1
gopura,1
