construction_term,frequency
capital,195
masonry,30
quarry,18
megalithic,11
dry stone,11
monolithic,10
stele,10
frieze,9
pinnacle,9
rock cut,9
pier,8
cornice,7
turret,7
facing,6
rubble,5
parapet,5
stelae,5
tuscan,5
balustrade,4
tympanum,4
corinthian,4
lintel,4
doric,4
obelisk,4
ashlar,3
monolith,3
cobblestone,3
composite,3
pediment,3
cave temple,3
quarried,3
building stone,2
battlement,2
crenellation,2
cyclopean,2
opus sectile,2
sill,2
stone carving,2
cladding,2
oculus,2
dressed stone,2
quarried stone,2
megalith,2
menhir,2
plinth,2
threshold,2
tracery,2
stone veneer,1
veneer,1
rough cut,1
mason,1
volute,1
stonemason,1
voussoir,1
wainscot,1
capstone,1
cornerstone,1
coursed rubble,1
rubble masonry,1
stone masonry,1
drystone,1
hewn stone,1
ionic,1
machicolation,1
orthostat,1
revetment,1
stela,1
rock architecture,1
pedestal,1
pointing,1
stonemasonry,1
